Pelicula,Director,Duración,Sala,Horario,Fecha,Cine,Film_URL,Poster_URL,Idioma_Original,Calificación,Estreno,Intérpretes,Sinopsis
MARTY SUPREME,Josh Safdie,149,04,16:10,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/marty-supreme/,https://media.pillalas.com/imagenes/726afb526abffa83215ea8a89c8894fb1ac44e6c3b86faba19f84e195b42d541304dcb79.jpg,Inglés,No recomendada para menores de 16 años,Viernes 30 Enero 2026,"Timothee Chalamet, Gwyneth Paltrow, Odessa A Zion, Sandra Bernhard, Fran Drescher, Abel Ferrara, Spenser Granese, Tyler The Creator, Penn Jillette, Kevin O Leary","Marty Mauser (Timothée Chalamet), un joven con una ambición desmesurada, está dispuesto a todo para cumplir su sueño. Con ayuda, entre otros, de la estrella de cine Carol Dunne (Gwyneth Paltrow) demostrará al mundo entero su grandeza."
MARTY SUPREME,Josh Safdie,149,04,19:00,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/marty-supreme/,https://media.pillalas.com/imagenes/726afb526abffa83215ea8a89c8894fb1ac44e6c3b86faba19f84e195b42d541304dcb79.jpg,Inglés,No recomendada para menores de 16 años,Viernes 30 Enero 2026,"Timothee Chalamet, Gwyneth Paltrow, Odessa A Zion, Sandra Bernhard, Fran Drescher, Abel Ferrara, Spenser Granese, Tyler The Creator, Penn Jillette, Kevin O Leary","Marty Mauser (Timothée Chalamet), un joven con una ambición desmesurada, está dispuesto a todo para cumplir su sueño. Con ayuda, entre otros, de la estrella de cine Carol Dunne (Gwyneth Paltrow) demostrará al mundo entero su grandeza."
MARTY SUPREME,Josh Safdie,149,02,20:20,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/marty-supreme/,https://media.pillalas.com/imagenes/726afb526abffa83215ea8a89c8894fb1ac44e6c3b86faba19f84e195b42d541304dcb79.jpg,Inglés,No recomendada para menores de 16 años,Viernes 30 Enero 2026,"Timothee Chalamet, Gwyneth Paltrow, Odessa A Zion, Sandra Bernhard, Fran Drescher, Abel Ferrara, Spenser Granese, Tyler The Creator, Penn Jillette, Kevin O Leary","Marty Mauser (Timothée Chalamet), un joven con una ambición desmesurada, está dispuesto a todo para cumplir su sueño. Con ayuda, entre otros, de la estrella de cine Carol Dunne (Gwyneth Paltrow) demostrará al mundo entero su grandeza."
MARTY SUPREME,Josh Safdie,149,04,21:50,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/marty-supreme/,https://media.pillalas.com/imagenes/726afb526abffa83215ea8a89c8894fb1ac44e6c3b86faba19f84e195b42d541304dcb79.jpg,Inglés,No recomendada para menores de 16 años,Viernes 30 Enero 2026,"Timothee Chalamet, Gwyneth Paltrow, Odessa A Zion, Sandra Bernhard, Fran Drescher, Abel Ferrara, Spenser Granese, Tyler The Creator, Penn Jillette, Kevin O Leary","Marty Mauser (Timothée Chalamet), un joven con una ambición desmesurada, está dispuesto a todo para cumplir su sueño. Con ayuda, entre otros, de la estrella de cine Carol Dunne (Gwyneth Paltrow) demostrará al mundo entero su grandeza."
NOUVELLE VAGUE,Richard Linklater,106,01,22:40,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/nouvelle-vague/,https://media.pillalas.com/imagenes/726afb526abffa835c22ae68ba792559681ebb89ebbc7ddacfd5f5bdea32bb21879771be.jpg,Francés,No recomendada para menores de 12 años,Viernes 9 Enero 2026,"Guillaume Marbeck, Zoey Deutch, Aubry Dullin, Bruno Dreyfürst, Benjamin Clery, Matthieu Penchinat, Adrien Rouyard, Jodie Ruth-Forest","Esta es la historia de Godard rodando 'Al final de la escapada', contada con el estilo y el espíritu con los que Godard rodó 'Al final de la escapada'."
RENTAL FAMILY (FAMILIA DE ALQUILER),Mitsuyo Miyazaki,109,09,16:00,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/rental-family-familia-de-alquiler/,https://media.pillalas.com/imagenes/726afb526abffa8354fd8d551fddc8b6f2c37df750c002f9f65d59d1707b603c58f3211d.jpg,Inglés Y Japonés,No recomendada para menores de 12 años,Viernes 9 Enero 2026,"Brendan Fraser, Mari Yamamoto, Takehiro Hira, Akira Emoto, Shannon Gorman","Comedia dramática sobre un actor estadounidense (Brendan Fraser) que lucha por encontrar un propósito en la vida en el Tokio actual. Hasta que consigue un trabajo inusual, trabajar para una agencia japonesa de ""familias de alquiler"", interpretando papeles de suplente para desconocidos."
RENTAL FAMILY (FAMILIA DE ALQUILER),Mitsuyo Miyazaki,109,02,18:15,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/rental-family-familia-de-alquiler/,https://media.pillalas.com/imagenes/726afb526abffa8354fd8d551fddc8b6f2c37df750c002f9f65d59d1707b603c58f3211d.jpg,Inglés Y Japonés,No recomendada para menores de 12 años,Viernes 9 Enero 2026,"Brendan Fraser, Mari Yamamoto, Takehiro Hira, Akira Emoto, Shannon Gorman","Comedia dramática sobre un actor estadounidense (Brendan Fraser) que lucha por encontrar un propósito en la vida en el Tokio actual. Hasta que consigue un trabajo inusual, trabajar para una agencia japonesa de ""familias de alquiler"", interpretando papeles de suplente para desconocidos."
SIRAT,Óliver Laxe,120,03,20:05,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/sirat/,https://www.cinesrenoir.com/media/Peliculas/Cartel/SIRAT_ONLINE_GOYAOSCARS.jpg,Castellano Y Otros,No recomendada para menores de 16 años,Viernes 6 Junio 2025,"Sergi López, Bruno Núñez, Stefania Gadda, Joshua Liam Herderson, Tonin Javier, Jade Ouki, Richard Bellamyun","Un hombre (López) y su hijo (Nuñez) llegan a una rave perdida en medio de las áridas y fantasmagóricas montañas del sur de Marruecos. Buscan allí a Mar, su hija y hermana, desaparecida hace meses en una de estas fiestas sin amanecer. Reparten una y otra vez su foto rodeados de música electrónica y de un tipo de libertad que desconocen. Empujados por el destino, y con la esperanza de encontrar ahí a Mar, deciden seguir a un grupo de raveros hacia la última fiesta que se celebrará en el desierto."
SIRAT,Óliver Laxe,120,07,21:30,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/sirat/,https://www.cinesrenoir.com/media/Peliculas/Cartel/SIRAT_ONLINE_GOYAOSCARS.jpg,Castellano Y Otros,No recomendada para menores de 16 años,Viernes 6 Junio 2025,"Sergi López, Bruno Núñez, Stefania Gadda, Joshua Liam Herderson, Tonin Javier, Jade Ouki, Richard Bellamyun","Un hombre (López) y su hijo (Nuñez) llegan a una rave perdida en medio de las áridas y fantasmagóricas montañas del sur de Marruecos. Buscan allí a Mar, su hija y hermana, desaparecida hace meses en una de estas fiestas sin amanecer. Reparten una y otra vez su foto rodeados de música electrónica y de un tipo de libertad que desconocen. Empujados por el destino, y con la esperanza de encontrar ahí a Mar, deciden seguir a un grupo de raveros hacia la última fiesta que se celebrará en el desierto."
TRES ADIOSES,Isabel Coixet,122,02,16:00,2026-02-16,Renoir Princesa,https://www.cinesrenoir.com/pelicula/tres-adioses/,https://media.pillalas.com/imagenes/726afb526abffa832ea2a44a189894de905fc7e94534a8bf4ef6bf13e5ccdfe90922c22e.jpg,Italiano,No recomendada para menores de 12 años,Viernes 6 Febrero 2026,"Alba Rohrwacher, Elio Germano, Francesco Carril, Silvia D Amico, Galatea Bellugi, Sarita Choudhury","Tras lo que parecía una discusión sin importancia, Marta (Alba Rohrwacher) y Antonio (Elio Germano) se separan. Él, un chef prometedor, se refugia en sus fogones; ella, en su silencio, empieza a notar algo más que tristeza: ha perdido el apetito… y no solo por desamor. Cuando descubre que detrás hay un problema de salud, todo da un giro inesperado: la comida sabe mejor, la música le llega como nunca y el deseo despierta sus ganas de vivir sin miedo.
Una historia sobre el amor, la vida y esos momentos que lo cambian todo para siempre."
