Pelicula,Director,Duración,Sala,Horario,Fecha,Cine,Tickets_URL,Film_URL,Poster_URL,Idioma_Original,Calificación,Estreno,Intérpretes,Sinopsis
LOS DOMINGOS,Alauda Ruiz De Azúa,115,02,20:15,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060022/,https://www.cinesrenoir.com/pelicula/los-domingos/,https://www.cinesrenoir.com/media/Peliculas/Cartel/los_domingos_poster.jpg,Castellano,No recomendada para menores de 12 años,Viernes 24 Octubre 2025,"Patricia López Arnaiz, Blanca Soroa, Miguel Garcés, Juan Minujín, Mabel Rivera, Nagore Aramburu","'Los domingos' cuenta la historia de Ainara (Soroa), una joven idealista y brillante de 17 años que ha de decidir qué carrera universitaria estudiará. O, al menos, eso espera su familia que haga. Sin embargo, la joven manifiesta que se siente cada vez más cerca de Dios y que se plantea abrazar la vida de monja de clausura. La noticia pilla por sorpresa a toda la familia provocando un abismo y una prueba de fuego para todos."
PILLION,Harry Lighton,106,11,16:00,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060371/,https://www.cinesrenoir.com/pelicula/pillion/,https://www.cinesrenoir.com/media/Peliculas/Cartel/POSTER_2_3_web_1_1_1.png,Inglés,No recomendada para menores de 16 años,Viernes 6 Marzo 2026,"Harry Melling, Alexander Skarsgård, Lesley Sharp, Douglas Hodge","Colin, un chico introvertido, se queda prendado de Ray, el carismático y atractivo líder de una banda de moteros que le toma como su sumiso, dinamitando su rutina y cambiándole la vida."
PILLION,Harry Lighton,106,11,18:05,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060372/,https://www.cinesrenoir.com/pelicula/pillion/,https://www.cinesrenoir.com/media/Peliculas/Cartel/POSTER_2_3_web_1_1_1.png,Inglés,No recomendada para menores de 16 años,Viernes 6 Marzo 2026,"Harry Melling, Alexander Skarsgård, Lesley Sharp, Douglas Hodge","Colin, un chico introvertido, se queda prendado de Ray, el carismático y atractivo líder de una banda de moteros que le toma como su sumiso, dinamitando su rutina y cambiándole la vida."
PILLION,Harry Lighton,106,11,20:10,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060374/,https://www.cinesrenoir.com/pelicula/pillion/,https://www.cinesrenoir.com/media/Peliculas/Cartel/POSTER_2_3_web_1_1_1.png,Inglés,No recomendada para menores de 16 años,Viernes 6 Marzo 2026,"Harry Melling, Alexander Skarsgård, Lesley Sharp, Douglas Hodge","Colin, un chico introvertido, se queda prendado de Ray, el carismático y atractivo líder de una banda de moteros que le toma como su sumiso, dinamitando su rutina y cambiándole la vida."
PILLION,Harry Lighton,106,11,22:15,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060375/,https://www.cinesrenoir.com/pelicula/pillion/,https://www.cinesrenoir.com/media/Peliculas/Cartel/POSTER_2_3_web_1_1_1.png,Inglés,No recomendada para menores de 16 años,Viernes 6 Marzo 2026,"Harry Melling, Alexander Skarsgård, Lesley Sharp, Douglas Hodge","Colin, un chico introvertido, se queda prendado de Ray, el carismático y atractivo líder de una banda de moteros que le toma como su sumiso, dinamitando su rutina y cambiándole la vida."
SIRAT,Óliver Laxe,120,02,15:50,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060019/,https://www.cinesrenoir.com/pelicula/sirat/,https://www.cinesrenoir.com/media/Peliculas/Cartel/SIRAT_ONLINE_GOYAOSCARS.jpg,Castellano Y Otros,No recomendada para menores de 16 años,Viernes 6 Junio 2025,"Sergi López, Bruno Núñez, Stefania Gadda, Joshua Liam Herderson, Tonin Javier, Jade Ouki, Richard Bellamyun","Un hombre (López) y su hijo (Nuñez) llegan a una rave perdida en medio de las áridas y fantasmagóricas montañas del sur de Marruecos. Buscan allí a Mar, su hija y hermana, desaparecida hace meses en una de estas fiestas sin amanecer. Reparten una y otra vez su foto rodeados de música electrónica y de un tipo de libertad que desconocen. Empujados por el destino, y con la esperanza de encontrar ahí a Mar, deciden seguir a un grupo de raveros hacia la última fiesta que se celebrará en el desierto."
SIRAT,Óliver Laxe,120,02,22:30,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060023/,https://www.cinesrenoir.com/pelicula/sirat/,https://www.cinesrenoir.com/media/Peliculas/Cartel/SIRAT_ONLINE_GOYAOSCARS.jpg,Castellano Y Otros,No recomendada para menores de 16 años,Viernes 6 Junio 2025,"Sergi López, Bruno Núñez, Stefania Gadda, Joshua Liam Herderson, Tonin Javier, Jade Ouki, Richard Bellamyun","Un hombre (López) y su hijo (Nuñez) llegan a una rave perdida en medio de las áridas y fantasmagóricas montañas del sur de Marruecos. Buscan allí a Mar, su hija y hermana, desaparecida hace meses en una de estas fiestas sin amanecer. Reparten una y otra vez su foto rodeados de música electrónica y de un tipo de libertad que desconocen. Empujados por el destino, y con la esperanza de encontrar ahí a Mar, deciden seguir a un grupo de raveros hacia la última fiesta que se celebrará en el desierto."
TORRENTE PRESIDENTE,Santiago Segura,103,05,15:50,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060147/,https://www.cinesrenoir.com/pelicula/torrente-presidente/,https://www.cinesrenoir.com/media/Peliculas/Cartel/torrente_presidente1.jpg,Castellano,No recomendada para menores de 16 años,Viernes 13 Marzo 2026,"Santiago Segura, Leo Harlem, Ramón Langa",Sexta entrega de Torrente.
TORRENTE PRESIDENTE,Santiago Segura,103,06,18:20,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060151/,https://www.cinesrenoir.com/pelicula/torrente-presidente/,https://www.cinesrenoir.com/media/Peliculas/Cartel/torrente_presidente1.jpg,Castellano,No recomendada para menores de 16 años,Viernes 13 Marzo 2026,"Santiago Segura, Leo Harlem, Ramón Langa",Sexta entrega de Torrente.
TORRENTE PRESIDENTE,Santiago Segura,103,06,20:20,2026-03-20,Renoir Princesa,https://www.pillalas.com/pase/1060155/,https://www.cinesrenoir.com/pelicula/torrente-presidente/,https://www.cinesrenoir.com/media/Peliculas/Cartel/torrente_presidente1.jpg,Castellano,No recomendada para menores de 16 años,Viernes 13 Marzo 2026,"Santiago Segura, Leo Harlem, Ramón Langa",Sexta entrega de Torrente.
